SKU,Artikal,Prvi prijem,Prvi datum,Zadnji datum,Ukupno dana,Dani bez zalihe,Dani dostupno,Nabavljeno,Nabavljeno kartica,Izdavanje ukupno,Povrati,Total prodato,Prosek dnevno,Procena izgubljeno,Ukupno neto,Prosek neto,Procjena gubitka neto,Poslato (SP prijemi),Pristiglo (SP prijemi),Prvi verifikovani prijem,Zadnji verifikovani prijem
AF-1,AF-1 - Rep crni afro (AF-1) kom,,2026-01-01,2026-01-21,21,0,21,281.0,0.0,8.0,1.0,7.0,0.333333,0.0,0.0,0.0,0.0,282.0,281.0,2024-06-11,2026-01-16
AF-10,AF-10 - Rep svetlo smeda afro (AF-10) kom,,2026-01-01,2026-01-19,19,0,19,68.0,0.0,2.0,1.0,1.0,0.052632,0.0,0.0,0.0,0.0,68.0,68.0,2024-06-11,2025-08-16
AF-4,AF-4 - Rep tamno smeda afro (AF-4) kom,,2026-01-01,2026-01-21,21,0,21,160.0,0.0,4.0,-0.0,4.0,0.190476,0.0,0.0,0.0,0.0,160.0,160.0,2024-06-11,2025-08-16
AF-6,AF-6 - Rep smeda afro (AF-6) kom,,2026-01-01,2026-01-19,19,0,19,150.0,0.0,2.0,-0.0,2.0,0.105263,0.0,0.0,0.0,0.0,150.0,150.0,2024-06-11,2025-08-16
AF-613,Rep svetlo plava afro (AF-613) kom,,2026-01-01,2026-01-21,21,0,21,120.0,0.0,2.0,-0.0,2.0,0.095238,0.0,0.0,0.0,0.0,120.0,120.0,2024-06-11,2025-08-16
AF-CRV,AF-CRV - Rep crvena afro (AF-CRV) kom,,2026-01-01,2026-01-15,15,0,15,35.0,0.0,1.0,-0.0,1.0,0.066667,0.0,0.0,0.0,0.0,38.0,35.0,2024-06-11,2025-12-01
AF-K16,AF-K16 - Rep tamno plava afro (AF-K16) kom,,2026-01-01,2026-01-19,19,0,19,150.0,0.0,3.0,-0.0,3.0,0.157895,0.0,0.0,0.0,0.0,150.0,150.0,2024-06-11,2025-08-16
AF-MHG,Rep Mahagoni afro (AF-MHG) ko,,2026-01-01,2026-01-20,20,0,20,52.0,0.0,3.0,-0.0,3.0,0.15,0.0,0.0,0.0,0.0,52.0,52.0,2024-06-11,2025-08-16
AF-SMEDPR,Rep sv. smedi s pram. afro (AF-SMEDPR) kom,,2026-01-01,2026-01-14,14,0,14,70.0,0.0,2.0,-0.0,2.0,0.142857,0.0,0.0,0.0,0.0,70.0,70.0,2025-08-16,2025-08-16
AF-SMO,Rep smeda ombre afro (AF-SMO) kom,,2026-01-01,2026-01-22,22,0,22,60.0,0.0,2.0,-0.0,2.0,0.090909,0.0,0.0,0.0,0.0,60.0,60.0,2024-06-11,2025-10-29
AF-SMP,AF-SMP - Rep smede plava afro (AF-SMP) kom,,2026-01-01,2026-01-15,15,0,15,120.0,0.0,5.0,-0.0,5.0,0.333333,0.0,0.0,0.0,0.0,120.0,120.0,2024-06-11,2025-08-16
AR-1B,Ariana crni (AR-1B) kom,,2026-01-01,2026-01-22,22,0,22,230.0,0.0,5.0,-0.0,5.0,0.227273,0.0,0.0,0.0,0.0,230.0,230.0,2025-05-15,2026-01-16
AR-2,Ariana najtamnija smeda (AR-2) kom,,2026-01-01,2026-01-22,22,0,22,185.0,0.0,12.0,-0.0,12.0,0.545455,0.0,0.0,0.0,0.0,185.0,185.0,2025-01-29,2026-01-16
AR-4,Ariana tamno smedi (AR-4) kom,,2026-01-01,2026-01-21,21,0,21,275.0,0.0,12.0,1.0,11.0,0.52381,0.0,0.0,0.0,0.0,275.0,275.0,2025-01-29,2026-01-16
AR-613,Arijana svetlo plavi (AR-613) kom,,2026-01-01,2026-01-22,22,0,22,115.0,0.0,8.0,2.0,6.0,0.272727,0.0,0.0,0.0,0.0,115.0,115.0,2025-01-29,2026-01-16
AR-K16,Ariana tamno plavi (AR-K16) kom,,2026-01-01,2026-01-21,21,0,21,175.0,0.0,13.0,1.0,12.0,0.571429,0.0,0.0,0.0,0.0,175.0,175.0,2025-01-29,2026-01-16
AR-Najpl,Ariana najtamnija plava (AR-Najpl) kom,,2026-01-01,2026-01-20,20,0,20,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,2025-05-15,2025-10-29
AR-PLO,Ariana platinum ombre (AR-PLO) kom,,2026-01-01,2026-01-16,16,0,16,116.0,0.0,4.0,-0.0,4.0,0.25,0.0,0.0,0.0,0.0,116.0,116.0,2025-01-29,2026-01-16
AR-SMO,Arijana smedi ombre (AR-SMO) kom,,2026-01-01,2026-01-22,22,0,22,90.0,0.0,7.0,-0.0,7.0,0.318182,0.0,0.0,0.0,0.0,90.0,90.0,2025-08-16,2026-01-16
AR-SMPLV,Ariana smede plavi (AR-SMPLV) kom,,2026-01-01,2026-01-22,22,0,22,95.0,0.0,6.0,-0.0,6.0,0.272727,0.0,0.0,0.0,0.0,95.0,95.0,2025-05-15,2026-01-16
BD-10,Blowdry svetlo smeda (BD-10) ko,,2026-01-01,2026-01-20,20,0,20,50.0,0.0,3.0,1.0,2.0,0.1,0.0,0.0,0.0,0.0,50.0,50.0,2025-10-29,2025-10-29
BD-1B,Blowdry crna (BD-1B) ko,,2026-01-01,2026-01-22,22,0,22,100.0,0.0,9.0,1.0,8.0,0.363636,0.0,0.0,0.0,0.0,100.0,100.0,2025-10-29,2025-10-29
BD-2,Blowdry najtamnija smeda (BD-2) ko,,2026-01-01,2026-01-21,21,0,21,47.0,0.0,7.0,-0.0,7.0,0.333333,0.0,0.0,0.0,0.0,50.0,47.0,2025-10-29,2025-10-29
BD-4,Blowdry tamno smeda (BD-4) ko,,2026-01-01,2026-01-22,22,0,22,63.0,0.0,6.0,1.0,5.0,0.227273,0.0,0.0,0.0,0.0,70.0,63.0,2025-10-29,2025-10-29
BD-6,Blowdry smeda (BD-6) ko,,2026-01-01,2026-01-21,21,0,21,77.0,0.0,6.0,2.0,4.0,0.190476,0.0,0.0,0.0,0.0,70.0,77.0,2025-10-29,2025-10-29
BD-613,Blowdry svetlo plava (BD-613) ko,,2026-01-01,2026-01-19,19,0,19,50.0,0.0,6.0,-0.0,6.0,0.315789,0.0,0.0,0.0,0.0,50.0,50.0,2025-10-29,2025-10-29
BD-K16,Blowdry tamno plava (BD-K16) ko,,2026-01-01,2026-01-19,19,0,19,50.0,0.0,6.0,1.0,5.0,0.263158,0.0,0.0,0.0,0.0,50.0,50.0,2025-10-29,2025-10-29
BD-PLAT,Blowdry platina (BD-PLAT) ko,,2026-01-01,2026-01-20,20,0,20,50.0,0.0,4.0,1.0,3.0,0.15,0.0,0.0,0.0,0.0,50.0,50.0,2025-10-29,2025-10-29
BD-SMEDPR,Blowdry svetlo smeda s pramenovima (BD-SMEDPR) ko,,2026-01-01,2026-01-21,21,0,21,80.0,0.0,14.0,2.0,12.0,0.571429,0.0,0.0,0.0,0.0,80.0,80.0,2025-10-29,2025-10-29
BD-SRP,Blowdry srednje plava (BD-SRP) ko,,2026-01-01,2026-01-20,20,3,17,70.0,0.0,3.0,2.0,1.0,0.058824,0.1765,0.0,0.0,0.0,70.0,70.0,2025-10-29,2025-10-29
Crni kratki opk (KRO-1B ) kom,Crni kratki opk (KRO-1B ) kom,,2026-01-01,2026-01-19,19,0,19,0.0,0.0,6.0,-0.0,6.0,0.315789,0.0,0.0,0.0,0.0,,,,
Crni kratki rep (KRR-1B ) kom,Crni kratki rep (KRR-1B ) kom,,2026-01-01,2026-01-21,21,0,21,0.0,0.0,4.0,-0.0,4.0,0.190476,0.0,0.0,0.0,0.0,,,,
DR-1B,DR-1B - Rep crni dugi 90cm (DR-1B) kom,,2026-01-01,2026-01-19,19,0,19,185.0,0.0,2.0,-0.0,2.0,0.105263,0.0,0.0,0.0,0.0,186.0,185.0,2024-06-11,2026-01-16
DR-4,DR-4 - Dugi tamnosmedi (DR-4) kom,,2026-01-01,2026-01-20,20,0,20,85.0,0.0,2.0,-0.0,2.0,0.1,0.0,0.0,0.0,0.0,85.0,85.0,2024-10-21,2025-08-16
DR-6,DR-6 (DR-6) kom,,2026-01-01,2026-01-21,21,0,21,50.0,0.0,4.0,-0.0,4.0,0.190476,0.0,0.0,0.0,0.0,50.0,50.0,2025-05-15,2025-05-15
DR-SRP,DR-SRP (DR-SRP) kom,,2026-01-01,2026-01-14,14,0,14,50.0,0.0,1.0,-0.0,1.0,0.071429,0.0,0.0,0.0,0.0,50.0,50.0,2025-05-15,2025-05-15
EKS-1B,EKS-1B - Ekstenzije crna ravna (EKS-1B) kom,,2026-01-01,2026-01-21,21,0,21,390.0,0.0,8.0,-0.0,8.0,0.380952,0.0,0.0,0.0,0.0,390.0,390.0,2024-06-11,2026-01-16
EKS-4,EKS-4 - Ekstenzije tamno smeda ravna (EKS-4) kom,,2026-01-01,2026-01-19,19,0,19,302.0,0.0,11.0,-0.0,11.0,0.578947,0.0,0.0,0.0,0.0,303.0,302.0,2024-06-11,2026-01-16
EKS-6,Ekstenzije smeda ravna (EKS-6) kom,,2026-01-01,2026-01-20,20,0,20,260.0,0.0,6.0,1.0,5.0,0.25,0.0,0.0,0.0,0.0,260.0,260.0,2024-06-11,2026-01-16
EKS-613,Ekstenzije svetlo plava (EKS-613) kom,,2026-01-01,2026-01-19,19,0,19,80.0,0.0,6.0,-0.0,6.0,0.315789,0.0,0.0,0.0,0.0,115.0,80.0,2024-06-11,2025-10-29
EKS-K16,EKS-K16 - Ekstenzije tamno plava ravna (EKS-K16) kom,,2026-01-01,2026-01-19,19,0,19,175.0,0.0,1.0,-0.0,1.0,0.052632,0.0,0.0,0.0,0.0,175.0,175.0,2024-06-11,2025-10-29
EKS-PLAT,Ekstenzije platina (EKS-PLAT) kom,,2026-01-01,2026-01-12,12,0,12,50.0,0.0,2.0,-0.0,2.0,0.166667,0.0,0.0,0.0,0.0,50.0,50.0,2025-08-16,2025-08-16
EKS-PLO,Ekstenzije platinum pl. ombre (EKS-PLO) kom,,2026-01-01,2026-01-16,16,0,16,85.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.0,2024-08-28,2026-01-16
EKS-SRP,EKS-SRP - Ekstenzije srednje plava ravna (EKS-SRP) kom,,2026-01-01,2026-01-22,22,0,22,170.0,0.0,11.0,1.0,10.0,0.454545,0.0,0.0,0.0,0.0,170.0,170.0,2024-10-21,2026-01-16
EKSOPK-6,Ekstenzije smeda OPK (EKSOPK-6) kom,,2026-01-01,2026-01-21,21,0,21,70.0,0.0,6.0,-0.0,6.0,0.285714,0.0,0.0,0.0,0.0,90.0,70.0,2025-08-16,2026-01-21
EKSOPK-613,Ekstenzije svetlo plava OPK (EKSOPK-613) kom,,2026-01-01,2026-01-22,22,0,22,50.0,0.0,4.0,-0.0,4.0,0.181818,0.0,0.0,0.0,0.0,50.0,50.0,2025-08-16,2025-08-16
EKSOPK-K16,Ekstenzije tamno plava OPK (EKSOPK-K16) kom,,2026-01-01,2026-01-21,21,0,21,60.0,0.0,5.0,1.0,4.0,0.190476,0.0,0.0,0.0,0.0,60.0,60.0,2025-08-16,2026-01-16
EKSOPK-PLAT,Ekstenzije platina OPK (EKSOPK-PLAT) kom,,2026-01-01,2026-01-05,5,0,5,50.0,0.0,1.0,-0.0,1.0,0.2,0.0,0.0,0.0,0.0,50.0,50.0,2025-08-16,2025-08-16
Ekstenzije s plavim pramenovima (EKS-PRAM ) kom,Ekstenzije s plavim pramenovima (EKS-PRAM ) kom,,2026-01-01,2026-01-21,21,0,21,0.0,0.0,2.0,1.0,1.0,0.047619,0.0,0.0,0.0,0.0,,,,
