SKU,Artikal,Zero od,Zero do,Dani bez zalihe,Dokument start,Dokument kraj
BD-SRP,Blowdry srednje plava (BD-SRP) ko,2026-01-12,2026-01-14,2.0,IS-2026-170,IS-2026-270
P069,Perika P069 (P069) kom,2026-01-06,2026-01-16,10.0,IS-2026-86,IS-2026-320
P069,Perika P069 (P069) kom,2026-01-16,,,IS-2026-348,
P073,P073 (P073) kom,2026-01-15,,,IS-2026-288,
P078,P078 (P078) kom,2026-01-19,,,IS-2026-455,
P084,Perika P084 (P084) kom,2026-01-19,,,IS-2026-402,
P094,Perika P094 (P094) kom,2026-01-14,2026-01-19,5.0,IS-2026-269,IS-2026-372
P094,Perika P094 (P094) kom,2026-01-21,,,IS-2026-528,
P095,Perika P095 (P095) kom,2026-01-15,,,IS-2026-312,
P099,P099 (P099) kom,2026-01-16,,,IS-2026-338,
PR5,PR5 (PR5) kom,2026-01-15,,,IS-2026-309,
U-10,U klipse svetlo smeda (U-10) kom,2026-01-22,,,IS-2026-555,
