SKU,Artikal,Datum,Broj,Tip,Smer,Opis,Referenca,Prijem kolicina,Prijem vrednost,Izdavanje kolicina,Izdavanje vrednost,Cena,Stanje zaliha kolicina,Stanje zaliha vrednost,Delta kolicina
AF-1,AF-1 - Rep crni afro (AF-1) kom,2026-01-01,POCETNO,,,Početno stanje,,0.0,0.0,0.0,0.0,0.0,46.0,45458.32,0.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2026-01-09,IS-2026-147,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000147,0.0,0.0,1.0,988.22,988.224444,45.0,44470.1,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2026-01-12,IS-2026-152,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000152,0.0,0.0,1.0,988.22,988.224545,44.0,43481.88,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2026-01-12,IS-2026-175,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000175,0.0,0.0,1.0,988.22,988.224651,43.0,42493.66,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2026-01-15,IS-2026-283,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000283,0.0,0.0,1.0,988.22,988.224761,42.0,41505.44,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2026-01-19,IS-2026-378,IS,POVRAT,Iz izdatog računa: SP-MM,SP-MM-2026000378,0.0,0.0,-1.0,-988.22,988.224651,43.0,42493.66,1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2026-01-19,IS-2026-432,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000432,0.0,0.0,1.0,988.22,988.224761,42.0,41505.44,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2026-01-19,IS-2026-434,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000434,0.0,0.0,1.0,988.22,988.224878,41.0,40517.22,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2026-01-20,IS-2026-462,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000462,0.0,0.0,1.0,988.22,988.225,40.0,39529.0,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2026-01-21,IS-2026-533,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000533,0.0,0.0,1.0,988.23,988.224871,39.0,38540.77,-1.0
AF-10,AF-10 - Rep svetlo smeda afro (AF-10) kom,2026-01-01,POCETNO,,,Početno stanje,,0.0,0.0,0.0,0.0,0.0,19.0,19362.23,0.0
AF-10,AF-10 - Rep svetlo smeda afro (AF-10) kom,2026-01-07,IS-2026-93,IS,POVRAT,Iz izdatog računa: SP-MM,SP-MM-2026000093,0.0,0.0,-1.0,-1019.06,1019.0645,20.0,20381.29,1.0
AF-10,AF-10 - Rep svetlo smeda afro (AF-10) kom,2026-01-16,IS-2026-325,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000325,0.0,0.0,1.0,1019.06,1019.064736,19.0,19362.23,-1.0
AF-10,AF-10 - Rep svetlo smeda afro (AF-10) kom,2026-01-19,IS-2026-435,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000435,0.0,0.0,1.0,1019.06,1019.065,18.0,18343.17,-1.0
AF-4,AF-4 - Rep tamno smeda afro (AF-4) kom,2026-01-01,POCETNO,,,Početno stanje,,0.0,0.0,0.0,0.0,0.0,48.0,48452.17,0.0
AF-4,AF-4 - Rep tamno smeda afro (AF-4) kom,2026-01-06,IS-2026-72,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000072,0.0,0.0,1.0,1009.42,1009.420212,47.0,47442.75,-1.0
AF-4,AF-4 - Rep tamno smeda afro (AF-4) kom,2026-01-13,IS-2026-216,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000216,0.0,0.0,1.0,1009.42,1009.420217,46.0,46433.33,-1.0
AF-4,AF-4 - Rep tamno smeda afro (AF-4) kom,2026-01-14,IS-2026-250,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000250,0.0,0.0,1.0,1009.42,1009.420222,45.0,45423.91,-1.0
AF-4,AF-4 - Rep tamno smeda afro (AF-4) kom,2026-01-21,IS-2026-492,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000492,0.0,0.0,1.0,1009.42,1009.420227,44.0,44414.49,-1.0
AF-6,AF-6 - Rep smeda afro (AF-6) kom,2026-01-01,POCETNO,,,Početno stanje,,0.0,0.0,0.0,0.0,0.0,50.0,50424.56,0.0
AF-6,AF-6 - Rep smeda afro (AF-6) kom,2026-01-08,IS-2026-115,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000115,0.0,0.0,1.0,1008.49,1008.491224,49.0,49416.07,-1.0
AF-6,AF-6 - Rep smeda afro (AF-6) kom,2026-01-19,IS-2026-393,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000393,0.0,0.0,1.0,1008.49,1008.49125,48.0,48407.58,-1.0
AF-613,Rep svetlo plava afro (AF-613) kom,2026-01-01,POCETNO,,,Početno stanje,,0.0,0.0,0.0,0.0,0.0,58.0,57678.97,0.0
AF-613,Rep svetlo plava afro (AF-613) kom,2026-01-09,IS-2026-149,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000149,0.0,0.0,1.0,994.47,994.464912,57.0,56684.5,-1.0
AF-613,Rep svetlo plava afro (AF-613) kom,2026-01-21,IS-2026-502,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000502,0.0,0.0,1.0,994.46,994.465,56.0,55690.04,-1.0
AF-CRV,AF-CRV - Rep crvena afro (AF-CRV) kom,2026-01-01,POCETNO,,,Početno stanje,,0.0,0.0,0.0,0.0,0.0,15.0,14763.27,0.0
AF-CRV,AF-CRV - Rep crvena afro (AF-CRV) kom,2026-01-15,IS-2026-275,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000275,0.0,0.0,1.0,984.22,984.217857,14.0,13779.05,-1.0
AF-K16,AF-K16 - Rep tamno plava afro (AF-K16) kom,2026-01-01,POCETNO,,,Početno stanje,,0.0,0.0,0.0,0.0,0.0,49.0,49519.73,0.0
AF-K16,AF-K16 - Rep tamno plava afro (AF-K16) kom,2026-01-06,IS-2026-79,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000079,0.0,0.0,1.0,1010.61,1010.606666,48.0,48509.12,-1.0
AF-K16,AF-K16 - Rep tamno plava afro (AF-K16) kom,2026-01-12,IS-2026-188,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000188,0.0,0.0,1.0,1010.61,1010.606595,47.0,47498.51,-1.0
AF-K16,AF-K16 - Rep tamno plava afro (AF-K16) kom,2026-01-19,IS-2026-403,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000403,0.0,0.0,1.0,1010.61,1010.606521,46.0,46487.9,-1.0
AF-MHG,Rep Mahagoni afro (AF-MHG) ko,2026-01-01,POCETNO,,,Početno stanje,,0.0,0.0,0.0,0.0,0.0,12.0,12128.17,0.0
AF-MHG,Rep Mahagoni afro (AF-MHG) ko,2026-01-12,IS-2026-204,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000204,0.0,0.0,1.0,1010.68,1010.680909,11.0,11117.49,-1.0
AF-MHG,Rep Mahagoni afro (AF-MHG) ko,2026-01-19,IS-2026-397,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000397,0.0,0.0,1.0,1010.68,1010.681,10.0,10106.81,-1.0
AF-MHG,Rep Mahagoni afro (AF-MHG) ko,2026-01-20,IS-2026-475,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000475,0.0,0.0,1.0,1010.68,1010.681111,9.0,9096.13,-1.0
AF-SMEDPR,Rep sv. smedi s pram. afro (AF-SMEDPR) kom,2026-01-01,POCETNO,,,Početno stanje,,0.0,0.0,0.0,0.0,0.0,48.0,47909.58,0.0
AF-SMEDPR,Rep sv. smedi s pram. afro (AF-SMEDPR) kom,2026-01-12,IS-2026-175,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000175,0.0,0.0,1.0,998.12,998.11617,47.0,46911.46,-1.0
AF-SMEDPR,Rep sv. smedi s pram. afro (AF-SMEDPR) kom,2026-01-14,IS-2026-263,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000263,0.0,0.0,1.0,998.12,998.116086,46.0,45913.34,-1.0
AF-SMO,Rep smeda ombre afro (AF-SMO) kom,2026-01-01,POCETNO,,,Početno stanje,,0.0,0.0,0.0,0.0,0.0,24.0,23914.89,0.0
AF-SMO,Rep smeda ombre afro (AF-SMO) kom,2026-01-13,IS-2026-218,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000218,0.0,0.0,1.0,996.45,996.453913,23.0,22918.44,-1.0
AF-SMO,Rep smeda ombre afro (AF-SMO) kom,2026-01-22,IS-2026-551,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000551,0.0,0.0,1.0,996.45,996.45409,22.0,21921.99,-1.0
AF-SMP,AF-SMP - Rep smede plava afro (AF-SMP) kom,2026-01-01,POCETNO,,,Početno stanje,,0.0,0.0,0.0,0.0,0.0,23.0,23013.37,0.0
AF-SMP,AF-SMP - Rep smede plava afro (AF-SMP) kom,2026-01-08,IS-2026-131,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000131,0.0,0.0,1.0,1000.58,1000.581363,22.0,22012.79,-1.0
AF-SMP,AF-SMP - Rep smede plava afro (AF-SMP) kom,2026-01-13,IS-2026-217,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000217,0.0,0.0,1.0,1000.58,1000.581428,21.0,21012.21,-1.0
AF-SMP,AF-SMP - Rep smede plava afro (AF-SMP) kom,2026-01-14,IS-2026-262,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000262,0.0,0.0,1.0,1000.58,1000.5815,20.0,20011.63,-1.0
AF-SMP,AF-SMP - Rep smede plava afro (AF-SMP) kom,2026-01-15,IS-2026-298,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000298,0.0,0.0,1.0,1000.58,1000.581578,19.0,19011.05,-1.0
AF-SMP,AF-SMP - Rep smede plava afro (AF-SMP) kom,2026-01-15,IS-2026-306,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000306,0.0,0.0,1.0,1000.58,1000.581666,18.0,18010.47,-1.0
AR-1B,Ariana crni (AR-1B) kom,2026-01-01,POCETNO,,,Početno stanje,,0.0,0.0,0.0,0.0,0.0,82.0,64468.77,0.0
AR-1B,Ariana crni (AR-1B) kom,2026-01-19,IS-2026-354,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000354,0.0,0.0,1.0,786.2,786.204567,81.0,63682.57,-1.0
AR-1B,Ariana crni (AR-1B) kom,2026-01-19,IS-2026-357,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000357,0.0,0.0,1.0,786.2,786.204625,80.0,62896.37,-1.0
AR-1B,Ariana crni (AR-1B) kom,2026-01-21,IS-2026-532,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000532,0.0,0.0,1.0,786.2,786.204683,79.0,62110.17,-1.0
AR-1B,Ariana crni (AR-1B) kom,2026-01-22,IS-2026-538,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000538,0.0,0.0,1.0,786.2,786.204743,78.0,61323.97,-1.0
AR-1B,Ariana crni (AR-1B) kom,2026-01-22,IS-2026-549,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000549,0.0,0.0,1.0,786.2,786.204805,77.0,60537.77,-1.0
AR-2,Ariana najtamnija smeda (AR-2) kom,2026-01-01,POCETNO,,,Početno stanje,,0.0,0.0,0.0,0.0,0.0,51.0,40093.37,0.0
AR-2,Ariana najtamnija smeda (AR-2) kom,2026-01-16,IS-2026-339,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000339,0.0,0.0,2.0,1572.29,786.144489,49.0,38521.08,-2.0
AR-2,Ariana najtamnija smeda (AR-2) kom,2026-01-16,IS-2026-340,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000340,0.0,0.0,1.0,786.14,786.144583,48.0,37734.94,-1.0
AR-2,Ariana najtamnija smeda (AR-2) kom,2026-01-19,IS-2026-351,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000351,0.0,0.0,1.0,786.14,786.14468,47.0,36948.8,-1.0
AR-2,Ariana najtamnija smeda (AR-2) kom,2026-01-19,IS-2026-352,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2026000352,0.0,0.0,1.0,786.14,786.144782,46.0,36162.66,-1.0
