VP,Broj,Datum,Opis,Artikal,Kolicina,Nabavna vrednost,Prodajna vrednost,Prodajna cena,U skladiste,ID prometa u zalihama,Marza,SKU
P S,8,2025-12-30,FS251017,DR-PP - Rep platinum dugi 90cm(DR-PP),10,10478.65,41800,3483.33,Skladište Slanje Paketa,23391397,31321.35,DR-PP
P S,8,2025-12-30,FS251017,RR-4 - Rep tamno smedi ravni(RR-4),80,68111.22,356000,3708.33,Skladište Slanje Paketa,23391397,287888.78,RR-4
P S,8,2025-12-30,FS251017,AF-1 - Rep crni afro(AF-1),30,29471.2,117480,3263.33,Skladište Slanje Paketa,23391397,88008.8,AF-1
P S,8,2025-12-30,FS251017,TRK-K16 - Rep tamno plavi trakica(TRK-K16),15,11788.48,66750,3708.33,Skladište Slanje Paketa,23391397,54961.520000000004,TRK-K16
P S,8,2025-12-30,FS251017,RR-1B - Rep crni ravni(RR-1B),80,68111.22,313280,3263.33,Skladište Slanje Paketa,23391397,245168.78,RR-1B
P S,8,2025-12-30,FS251017,RR-SMP - Rep smede plava ravna(RR-SMP),30,25541.71,117480,3263.33,Skladište Slanje Paketa,23391397,91938.29000000001,RR-SMP
P S,8,2025-12-30,FS251017,DR-1B - Rep crni dugi 90cm(DR-1B),40,41914.6,190000,3958.33,Skladište Slanje Paketa,23391397,148085.4,DR-1B
P S,8,2025-12-30,FS251017,EKS-1B - Ekstenzije crna ravna(EKS-1B),100,91688.18,445000,3708.33,Skladište Slanje Paketa,23391397,353311.82,EKS-1B
P S,8,2025-12-30,FS251017,OPK-1B - Rep crna OPK(OPK-1B),100,98237.35,445000,3708.33,Skladište Slanje Paketa,23391397,346762.65,OPK-1B
P S,8,2025-12-30,FS251017,OPK-SMO - Rep smeda ombre OPK(OPK-SMO),30,29471.2,117480,3263.33,Skladište Slanje Paketa,23391397,88008.8,OPK-SMO
P S,8,2025-12-30,FS251017,TRK-6 - Rep smedi trakica(TRK-6),20,15717.97,89000,3708.33,Skladište Slanje Paketa,23391397,73282.03,TRK-6
P S,8,2025-12-30,FS251017,TRK-613 - Rep svetlo plavi trakica(TRK-613),15,11788.48,58740,3263.33,Skladište Slanje Paketa,23391397,46951.520000000004,TRK-613
P S,8,2025-12-30,FS251017,EKS-4 - Ekstenzije tamno smeda ravna(EKS-4),70,64181.73,274120,3263.33,Skladište Slanje Paketa,23391397,209938.27,EKS-4
P S,8,2025-12-30,FS251017,DR-SIVPL - Rep sivo plava 90cm(DR-SIVPL),10,10478.65,41800,3483.33,Skladište Slanje Paketa,23391397,31321.35,DR-SIVPL
P S,8,2025-12-30,FS251017,RR-350 - Rep crvena ravna(RR-350),15,12770.85,58740,3263.33,Skladište Slanje Paketa,23391397,45969.15,RR-350
P S,8,2025-12-30,FS251017,DR-SMPLV - Rep smede plava 90cm(DR-SMPLV),20,20957.3,83600,3483.33,Skladište Slanje Paketa,23391397,62642.7,DR-SMPLV
P S,8,2025-12-30,FS251017,Ekstenzije smeda ravna(EKS-6),40,36675.27,178000,3708.33,Skladište Slanje Paketa,23391397,141324.73,EKS-6
P S,8,2025-12-30,FS251017,Rep crni na trakicu(TRK-1B),20,15717.97,78320,3263.33,Skladište Slanje Paketa,23391397,62602.03,TRK-1B
P S,8,2025-12-30,FS251017,Rep tamno smedi na trakicu(TRK-4),15,11788.48,58740,3263.33,Skladište Slanje Paketa,23391397,46951.520000000004,TRK-4
P S,8,2025-12-30,FS251017,Rep smedi ravni(RR-6),40,34055.61,156640,3263.33,Skladište Slanje Paketa,23391397,122584.39,RR-6
P S,8,2025-12-30,FS251017,Ekstenzije platinum pl. ombre(EKS-PLO),15,13753.23,58740,3263.33,Skladište Slanje Paketa,23391397,44986.770000000004,EKS-PLO
P S,8,2025-12-30,FS251017,Ekstenzije sivo plava(EKS-SIVPL	),15,13753.23,66750,3708.33,Skladište Slanje Paketa,23391397,52996.770000000004,Ekstenzije sivo plava(EKS-SIVPL	)
P S,8,2025-12-30,FS251017,Najtamnija smeda OPK(OPK-2),30,29471.2,117480,3263.33,Skladište Slanje Paketa,23391397,88008.8,OPK-2
P S,8,2025-12-30,FS251017,Svetlo smeda OPK(OPK-10	),20,19647.47,89000,3708.33,Skladište Slanje Paketa,23391397,69352.53,Svetlo smeda OPK(OPK-10	)
P S,8,2025-12-30,FS251017,Rep smeda OPK(OPK-6	),30,29471.2,117480,3263.33,Skladište Slanje Paketa,23391397,88008.8,Rep smeda OPK(OPK-6	)
P S,8,2025-12-30,FS251017,Srednje plavi(RR-SRP	),30,25541.71,117480,3263.33,Skladište Slanje Paketa,23391397,91938.29000000001,Srednje plavi(RR-SRP	)
P S,8,2025-12-30,FS251017,Najtamnija smeda(RR-2	),40,34055.61,178000,3708.33,Skladište Slanje Paketa,23391397,143944.39,Najtamnija smeda(RR-2	)
P S,8,2025-12-30,FS251017,Crni kratki rep(KRR-1B	),25,19647.47,90775,3025.83,Skladište Slanje Paketa,23391397,71127.53,Crni kratki rep(KRR-1B	)
P S,8,2025-12-30,FS251017,Tamno smeda kratki(KRR-4	),40,31435.95,145240,3025.83,Skladište Slanje Paketa,23391397,113804.05,Tamno smeda kratki(KRR-4	)
P S,8,2025-12-30,FS251017,Smede plavi kratki(KRR-SMPLV	),20,15717.97,72620,3025.83,Skladište Slanje Paketa,23391397,56902.03,Smede plavi kratki(KRR-SMPLV	)
P S,8,2025-12-30,FS251017,Crni kratki opk(KRO-1B	),30,27506.45,119700,3325.0,Skladište Slanje Paketa,23391397,92193.55,Crni kratki opk(KRO-1B	)
P S,8,2025-12-30,FS251017,Tamno smedi kratki opk(KRO-4	),30,27506.45,108930,3025.83,Skladište Slanje Paketa,23391397,81423.55,Tamno smedi kratki opk(KRO-4	)
P S,8,2025-12-30,FS251017,Smedi ombre kratki opk(KRO-SMO	),20,18337.64,78320,3263.33,Skladište Slanje Paketa,23391397,59982.36,Smedi ombre kratki opk(KRO-SMO	)
P S,8,2025-12-30,FS251017,Mahagoni kratki opk(KRO-MHG	),10,9168.82,39900,3325.0,Skladište Slanje Paketa,23391397,30731.18,Mahagoni kratki opk(KRO-MHG	)
P S,8,2025-12-30,FS251017,Smede plavi kratki opk(KRO-SMPLV	),40,36675.27,159600,3325.0,Skladište Slanje Paketa,23391397,122924.73000000001,Smede plavi kratki opk(KRO-SMPLV	)
P S,8,2025-12-30,FS251017,Platinum ombre kratki opk(KRO-PP	),25,22922.05,90775,3025.83,Skladište Slanje Paketa,23391397,67852.95,Platinum ombre kratki opk(KRO-PP	)
P S,8,2025-12-30,FS251017,Ekstenzije smede plava ravna(EKS-SMPLV	),10,9168.82,39160,3263.33,Skladište Slanje Paketa,23391397,29991.18,Ekstenzije smede plava ravna(EKS-SMPLV	)
P S,8,2025-12-30,FS251017,EKS-SRP - Ekstenzije srednje plava ravna(EKS-SRP),40,36675.27,178000,3708.33,Skladište Slanje Paketa,23391397,141324.73,EKS-SRP
P S,8,2025-12-30,FS251017,Arijana svetlo plavi(AR-613),20,15717.97,79800,3325.0,Skladište Slanje Paketa,23391397,64082.03,AR-613
P S,8,2025-12-30,FS251017,Ariana tamno plavi(AR-K16),20,15717.97,72620,3025.83,Skladište Slanje Paketa,23391397,56902.03,AR-K16
P S,8,2025-12-30,FS251017,Ariana tamno smedi(AR-4),30,23576.96,119700,3325.0,Skladište Slanje Paketa,23391397,96123.04000000001,AR-4
P S,8,2025-12-30,FS251017,Ariana najtamnija smeda(AR-2),50,39294.94,199500,3325.0,Skladište Slanje Paketa,23391397,160205.06,AR-2
P S,8,2025-12-30,FS251017,Ariana platinum ombre(AR-PLO),20,15717.97,78320,3263.33,Skladište Slanje Paketa,23391397,62602.03,AR-PLO
P S,8,2025-12-30,FS251017,Ariana crni(AR-1B),80,62871.9,290480,3025.83,Skladište Slanje Paketa,23391397,227608.1,AR-1B
P S,8,2025-12-30,FS251017,Ariana smede plavi(AR-SMPLV),35,27506.45,139650,3325.0,Skladište Slanje Paketa,23391397,112143.55,AR-SMPLV
P S,8,2025-12-30,FS251017,PR9(PR9),5,17682.72,52450,8741.67,Skladište Slanje Paketa,23391397,34767.28,PR9
P S,8,2025-12-30,FS251017,PR51(PR51),5,17682.72,52450,8741.67,Skladište Slanje Paketa,23391397,34767.28,PR51
