SKU,Artikal,kolicina_sum,nabavna_sum,prodajna_sum,marza_sum,doc_count,first_date,last_date
AF-1,AF-1 - Rep crni afro(AF-1),180,184809.41,784980,600170.59,3,2025-01-28,2025-12-30
AF-10,AF-10 - Rep svetlo smeda afro(AF-10),30,31067.64,133500,102432.35999999999,2,2025-01-28,2025-08-13
AF-4,AF-4 - Rep tamno smeda afro(AF-4),100,103184.1,445000,341815.9,2,2025-01-28,2025-08-13
AF-6,AF-6 - Rep smeda afro(AF-6),90,93202.93,400500,307297.07,2,2025-01-28,2025-08-13
AF-613,Rep svetlo plava afro(AF-613),70,69715.33,311500,241784.67,2,2025-05-08,2025-08-13
AF-613/K16(AF-613/K16),AF-613/K16(AF-613/K16),20,22210.58,89000,66789.42,1,2025-01-28,2025-01-28
AF-BRO,Rep bronza afro(AF-BRO),15,14971.76,66750,51778.24,1,2025-08-13,2025-08-13
AF-CRV,AF-CRV - Rep crvena afro(AF-CRV),20,19885.9,89000,69114.1,2,2025-05-08,2025-08-13
AF-K16,AF-K16 - Rep tamno plava afro(AF-K16),100,103031.20999999999,445000,341968.79000000004,3,2025-01-28,2025-08-13
AF-MHG,Rep Mahagoni afro(AF-MHG),30,31067.64,133500,102432.35999999999,2,2025-01-28,2025-08-13
AF-SMEDPR,Rep sv. smedi s pram. afro(AF-SMEDPR),70,69868.22,311500,241631.78,1,2025-08-13,2025-08-13
AF-SMO,Rep smeda ombre afro(AF-SMO),40,40480.229999999996,178000,137519.77000000002,3,2025-01-28,2025-10-27
AF-SMP,AF-SMP - Rep smede plava afro(AF-SMP),90,91925.91,400500,308574.09,3,2025-01-28,2025-08-13
AR-1B,Ariana crni(AR-1B),230,182340.21999999997,888980,706639.78,3,2025-05-08,2025-12-30
AR-2,Ariana najtamnija smeda(AR-2),185,149095.24,738150,589054.76,4,2025-01-28,2025-12-30
AR-4,Ariana tamno smedi(AR-4),275,219243.03999999998,1097250,878006.9600000001,5,2025-01-28,2025-12-30
AR-6,Arijana smedi(AR-6),50,39924.7,199500,159575.3,1,2025-08-13,2025-08-13
AR-613,Arijana svetlo plavi(AR-613),115,93190.02,458850,365659.98,4,2025-01-28,2025-12-30
AR-BAK,Ariana bakrena(AR-BAK),20,15717.97,79800,64082.03,1,2025-12-30,2025-12-30
AR-K16,Ariana tamno plavi(AR-K16),175,141549.3,691070,549520.7,4,2025-01-28,2025-12-30
AR-Najpl,Ariana najtamnija plava(AR-Najpl),35,27529.699999999997,139650,112120.3,2,2025-05-08,2025-10-27
AR-PLO,Ariana platinum ombre(AR-PLO),115,93700.82,457370,363669.18,4,2025-01-28,2025-12-30
AR-SMO,Arijana smedi ombre(AR-SMO),90,71234.7,341150,269915.3,2,2025-08-13,2025-12-30
AR-SMPLV,Ariana smede plavi(AR-SMPLV),95,75171.47,379050,303878.53,3,2025-05-08,2025-12-30
AR-SRP,Arijana srednje plavi(AR-SRP),50,39924.7,199500,159575.3,1,2025-08-13,2025-08-13
BD-10,Blowdry svetlo smeda(BD-10),50,61655.67,264500,202844.33000000002,1,2025-10-27,2025-10-27
BD-1B,Blowdry crna(BD-1B),100,123311.33,529000,405688.67,1,2025-10-27,2025-10-27
BD-2,Blowdry najtamnija smeda(BD-2),50,61655.67,264500,202844.33000000002,1,2025-10-27,2025-10-27
BD-4,Blowdry tamno smeda(BD-4),70,86317.93,370300,283982.07,1,2025-10-27,2025-10-27
BD-6,Blowdry smeda(BD-6),70,86317.93,370300,283982.07,1,2025-10-27,2025-10-27
BD-613,Blowdry svetlo plava(BD-613),50,61655.67,264500,202844.33000000002,1,2025-10-27,2025-10-27
BD-K16,Blowdry tamno plava(BD-K16),50,61655.67,264500,202844.33000000002,1,2025-10-27,2025-10-27
BD-PLAT,Blowdry platina(BD-PLAT),50,61655.67,264500,202844.33000000002,1,2025-10-27,2025-10-27
BD-SMEDPR,Blowdry svetlo smeda s pramenovima(BD-SMEDPR),80,98649.07,423200,324550.93,1,2025-10-27,2025-10-27
BD-SRP,Blowdry srednje plava(BD-SRP),70,86317.93,370300,283982.07,1,2025-10-27,2025-10-27
Crni kratki opk(KRO-1B	),Crni kratki opk(KRO-1B	),140,131792.81,558600,426807.18999999994,4,2025-01-28,2025-12-30
Crni kratki rep(KRR-1B	),Crni kratki rep(KRR-1B	),85,68272.93,330175,261902.06999999998,4,2025-01-28,2025-12-30
DR-1B,DR-1B - Rep crni dugi 90cm(DR-1B),105,114633.06,498750,384116.94,4,2025-01-28,2025-12-30
DR-4,DR-4 - Dugi tamnosmedi(DR-4),50,56830.11,237500,180669.89,2,2025-01-28,2025-08-13
DR-6,DR-6(DR-6),50,52825.23,237500,184674.77,1,2025-05-08,2025-05-08
DR-K16,Dugi tamno plavi(DR-K16),50,52825.23,237500,184674.77,1,2025-05-08,2025-05-08
DR-PP,DR-PP - Rep platinum dugi 90cm(DR-PP),30,31608.739999999998,136800,105191.26000000001,2,2025-05-08,2025-12-30
DR-SIVPL,DR-SIVPL - Rep sivo plava 90cm(DR-SIVPL),25,26326.22,113050,86723.78,2,2025-05-08,2025-12-30
DR-SMPLV,DR-SMPLV - Rep smede plava 90cm(DR-SMPLV),35,38725.770000000004,154850,116124.23,2,2025-01-28,2025-12-30
DR-SRP,DR-SRP(DR-SRP),50,52825.23,237500,184674.77,1,2025-05-08,2025-05-08
EKS-10,EKS-10 - Ekstenzije svetlo smeda(EKS-10),70,67308.7,311500,244191.3,2,2025-01-28,2025-08-13
EKS-1B,EKS-1B - Ekstenzije crna ravna(EKS-1B),280,265310.24,1246000,980689.76,4,2025-01-28,2025-12-30
EKS-4,EKS-4 - Ekstenzije tamno smeda ravna(EKS-4),210,200754.81,897120,696365.19,4,2025-01-28,2025-12-30
EKS-6,Ekstenzije smeda ravna(EKS-6),180,173248.32,801000,627751.6799999999,4,2025-01-28,2025-12-30
EKS-613,Ekstenzije svetlo plava(EKS-613),80,73837.12,356000,282162.88,2,2025-08-13,2025-10-27
EKS-K16,EKS-K16 - Ekstenzije tamno plava ravna(EKS-K16),90,87119.91,400500,313380.08999999997,3,2025-01-28,2025-10-27
EKS-NAT,EKS-NAT - Ekstenzije Natural Plave(EKS-NAT),40,41459.76,178000,136540.24,1,2025-01-28,2025-01-28
EKS-PLAT,Ekstenzije platina (EKS-PLAT),50,46578.82,222500,175921.18,1,2025-08-13,2025-08-13
EKS-PLO,Ekstenzije platinum pl. ombre(EKS-PLO),60,57033.89,258990,201956.11,3,2025-01-28,2025-12-30
EKS-SRP,EKS-SRP - Ekstenzije srednje plava ravna(EKS-SRP),140,133886.91,623000,489113.09,4,2025-01-28,2025-12-30
EKS-SSP,EKS-SSP - Ekstenzije smede s pramenovima ravna(EKS-SSP),20,18488.83,89000,70511.17,1,2025-05-08,2025-05-08
EKSOPK-10,Ekstenzije svetlo smede OPK(EKSOPK-10),30,31435.95,142500,111064.05,1,2025-12-30,2025-12-30
EKSOPK-1B,Ekstenzije crna OPK(EKSOPK-1B),80,84668.88,380000,295331.12,2,2025-08-13,2025-12-30
EKSOPK-4,Ekstenzije tamno smeda OPK(EKSOPK-4),70,74190.23,315820,241629.77000000002,2,2025-08-13,2025-12-30
EKSOPK-6,Ekstenzije smeda OPK(EKSOPK-6),70,74190.23,332500,258309.77000000002,2,2025-08-13,2025-12-30
EKSOPK-613,Ekstenzije svetlo plava OPK(EKSOPK-613),50,53232.93,237500,184267.07,1,2025-08-13,2025-08-13
EKSOPK-K16,Ekstenzije tamno plava OPK(EKSOPK-K16),60,63543.649999999994,273600,210056.34999999998,2,2025-08-13,2025-12-30
EKSOPK-PLAT,Ekstenzije platina OPK(EKSOPK-PLAT),50,53232.93,237500,184267.07,1,2025-08-13,2025-08-13
EKSOPK-SMEDPR,Ekstenzije svetlo smeda s pramenovima OPK(EKSOPK-SMEDPR),50,53232.93,237500,184267.07,1,2025-08-13,2025-08-13
EKSOPK-SRP,Ekstenzije srednje plava OPK(EKSOPK-SRP),80,84500.95,380000,295499.05,2,2025-08-13,2025-12-30
Ekstenzije s plavim pramenovima(EKS-PRAM	),Ekstenzije s plavim pramenovima(EKS-PRAM	),10,9244.42,44500,35255.58,1,2025-05-08,2025-05-08
Ekstenzije sivo plava(EKS-SIVPL	),Ekstenzije sivo plava(EKS-SIVPL	),25,22997.65,111250,88252.35,2,2025-05-08,2025-12-30
Ekstenzije smede plava ravna(EKS-SMPLV	),Ekstenzije smede plava ravna(EKS-SMPLV	),45,43205.06,194910,151704.94,3,2025-01-28,2025-12-30
KRR-10,Rep kratki svetlo smedi(KRR-10),50,39924.7,199500,159575.3,1,2025-08-13,2025-08-13
KRR-6,Kratki smedi(KRR-6),80,63390.27,319200,255809.73,1,2025-05-08,2025-05-08
KRR-PLAT,Rep kratki platina(KRR-PLAT),50,39924.7,199500,159575.3,1,2025-08-13,2025-08-13
KRR-SRP,Kratki srednje plavi(KRR-SRP),80,63573.74,319200,255626.26,2,2025-05-08,2025-08-13
Karamel ravni(RR-KAR	),Karamel ravni(RR-KAR	),25,22600.120000000003,111250,88649.88,2,2025-01-28,2025-08-13
Mahagoni kratki opk(KRO-MHG	),Mahagoni kratki opk(KRO-MHG	),40,38093.94,159600,121506.06,4,2025-01-28,2025-12-30
Mahagoni kratki(KRR-MHG	),Mahagoni kratki(KRR-MHG	),20,16869.17,79800,62930.83,2,2025-01-28,2025-08-13
Najtamnija smeda afro(AF-2	),Najtamnija smeda afro(AF-2	),80,82097.63,356000,273902.37,2,2025-01-28,2025-08-13
Najtamnija smeda kratki(KRR-2	),Najtamnija smeda kratki(KRR-2	),65,53067.579999999994,259350,206282.41999999998,3,2025-01-28,2025-08-13
Najtamnija smeda(RR-2	),Najtamnija smeda(RR-2	),135,118991.03,600750,481758.97000000003,4,2025-01-28,2025-12-30
Najtamniji smedi kratki opk(KRO-2	),Najtamniji smedi kratki opk(KRO-2	),100,95041.95,399000,303958.05,3,2025-01-28,2025-08-13
OPK-1B,OPK-1B - Rep crna OPK(OPK-1B),320,323214.45,1424000,1100785.55,4,2025-01-28,2025-12-30
OPK-2,Najtamnija smeda OPK(OPK-2),140,141206.57,606980,465773.43,4,2025-01-28,2025-12-30
OPK-6stari,Stari OPK-6(OPK-6stari),20,22210.58,89000,66789.42,1,2025-01-28,2025-01-28
OPK-K16,OPK-K16 - Rep tamno plava OPK(OPK-K16),115,118412.13999999998,511750,393337.86,3,2025-01-28,2025-08-13
OPK-MHG,OPK-MHG - Mahagoni OPK(OPK-MHG),40,39771.81,178000,138228.19,2,2025-05-08,2025-08-13
OPK-NTP,OPK-NTP - Rep Natural plava OPK(OPK-NTP),90,91925.91,400500,308574.09,3,2025-01-28,2025-08-13
OPK-PLO,OPK platinum ombre(OPK-PLO),40,39848.25,178000,138151.75,2,2025-05-08,2025-08-13
OPK-SMEDPR,OPK-SMEDPR(OPK-SMEDPR),100,99429.52,445000,345570.48,2,2025-05-08,2025-08-13
OPK-SMO,OPK-SMO - Rep smeda ombre OPK(OPK-SMO),155,157940.96,673730,515789.04000000004,4,2025-01-28,2025-12-30
OPK-SMP,OPK-SMP - Rep smede plava ombre OPK(OPK-SMP),95,96201.56,422750,326548.44,3,2025-01-28,2025-08-13
P017,P017(P017),12,18345.13,57000,38654.869999999995,1,2025-05-18,2025-05-18
P029,Perika P029(P029),5,4281.12,23750,19468.88,1,2025-11-07,2025-11-07
P043,Perika P043(P043),10,8562.24,47500,38937.76,1,2025-11-07,2025-11-07
P061,Perika P061(P061),20,17302.25,95000,77697.75,2,2025-05-18,2025-11-07
P066,P066(P066),15,22931.41,80850,57918.59,1,2025-05-18,2025-05-18
