SKU,Artikal,Prvi prijem,Prvi datum,Zadnji datum,Ukupno dana,Dani bez zalihe,Dani dostupno,Nabavljeno,Nabavljeno kartica,Izdavanje ukupno,Povrati,Total prodato,Prosek dnevno,Procena izgubljeno,Ukupno neto,Prosek neto,Procjena gubitka neto,Poslato (SP prijemi),Pristiglo (SP prijemi),Prvi verifikovani prijem,Zadnji verifikovani prijem
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-06-07,2024-04-01,2025-12-30,639,31,608,281.0,280.0,254.0,20.0,234.0,0.384868,11.9309,0.0,0.0,0.0,282.0,281.0,2024-06-11,2026-01-16
AF-10,AF-10 - Rep svetlo smeda afro (AF-10) kom,2024-06-07,2024-04-01,2025-12-29,638,0,638,68.0,67.0,51.0,3.0,48.0,0.075235,0.0,0.0,0.0,0.0,68.0,68.0,2024-06-11,2025-08-16
AF-4,AF-4 - Rep tamno smeda afro (AF-4) kom,2024-06-07,2024-04-01,2025-12-29,638,0,638,160.0,160.0,122.0,10.0,112.0,0.175549,0.0,0.0,0.0,0.0,160.0,160.0,2024-06-11,2025-08-16
AF-6,AF-6 - Rep smeda afro (AF-6) kom,2024-06-07,2024-04-01,2025-12-25,634,0,634,150.0,150.0,105.0,5.0,100.0,0.157729,0.0,0.0,0.0,0.0,150.0,150.0,2024-06-11,2025-08-16
AF-613,Rep svetlo plava afro (AF-613) kom,2024-06-07,2024-04-01,2025-12-18,627,0,627,120.0,120.0,65.0,3.0,62.0,0.098884,0.0,0.0,0.0,0.0,120.0,120.0,2024-06-11,2025-08-16
AF-613/K16 (AF-613/K16) kom,AF-613/K16 (AF-613/K16) kom,2025-01-28,2024-04-01,2025-01-28,303,0,303,20.0,20.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AF-BRO,Rep bronza afro (AF-BRO) kom,2025-08-13,2024-04-01,2025-08-13,500,0,500,15.0,15.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,2025-08-16,2025-08-16
AF-CRV,AF-CRV - Rep crvena afro (AF-CRV) kom,2024-06-07,2024-04-01,2025-12-29,638,0,638,35.0,35.0,24.0,4.0,20.0,0.031348,0.0,0.0,0.0,0.0,38.0,35.0,2024-06-11,2025-12-01
AF-K16,AF-K16 - Rep tamno plava afro (AF-K16) kom,2024-06-07,2024-04-01,2025-12-25,634,34,600,150.0,150.0,104.0,3.0,101.0,0.168333,5.7233,0.0,0.0,0.0,150.0,150.0,2024-06-11,2025-08-16
AF-MHG,Rep Mahagoni afro (AF-MHG) ko,2024-06-07,2024-04-01,2025-12-29,638,17,621,52.0,52.0,47.0,7.0,40.0,0.064412,1.095,0.0,0.0,0.0,52.0,52.0,2024-06-11,2025-08-16
AF-SMEDPR,Rep sv. smedi s pram. afro (AF-SMEDPR) kom,2025-08-13,2024-04-01,2025-12-29,638,0,638,70.0,70.0,25.0,3.0,22.0,0.034483,0.0,0.0,0.0,0.0,70.0,70.0,2025-08-16,2025-08-16
AF-SMO,Rep smeda ombre afro (AF-SMO) kom,2024-06-07,2024-04-01,2025-12-24,633,0,633,60.0,60.0,39.0,3.0,36.0,0.056872,0.0,0.0,0.0,0.0,60.0,60.0,2024-06-11,2025-10-29
AF-SMP,AF-SMP - Rep smede plava afro (AF-SMP) kom,2024-06-07,2024-04-01,2025-12-30,639,37,602,120.0,120.0,106.0,9.0,97.0,0.16113,5.9618,0.0,0.0,0.0,120.0,120.0,2024-06-11,2025-08-16
AR-1B,Ariana crni (AR-1B) kom,2025-05-08,2024-04-01,2025-12-30,639,0,639,230.0,230.0,167.0,19.0,148.0,0.231612,0.0,0.0,0.0,0.0,230.0,230.0,2025-05-15,2026-01-16
AR-2,Ariana najtamnija smeda (AR-2) kom,2025-01-28,2024-04-01,2025-12-30,639,0,639,185.0,185.0,152.0,18.0,134.0,0.209703,0.0,0.0,0.0,0.0,185.0,185.0,2025-01-29,2026-01-16
AR-4,Ariana tamno smedi (AR-4) kom,2025-01-28,2024-04-01,2025-12-30,639,63,576,275.0,275.0,258.0,14.0,244.0,0.423611,26.6875,0.0,0.0,0.0,275.0,275.0,2025-01-29,2026-01-16
AR-6,Arijana smedi (AR-6) kom,2025-08-13,2024-04-01,2025-11-24,603,0,603,50.0,50.0,53.0,6.0,47.0,0.077944,0.0,0.0,0.0,0.0,50.0,50.0,2025-08-16,2025-08-16
AR-613,Arijana svetlo plavi (AR-613) kom,2025-01-28,2024-04-01,2025-12-31,640,0,640,115.0,115.0,53.0,1.0,52.0,0.08125,0.0,0.0,0.0,0.0,115.0,115.0,2025-01-29,2026-01-16
AR-BAK,Ariana bakrena (AR-BAK) kom,2025-12-30,2024-04-01,2025-12-30,639,0,639,20.0,20.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,2026-01-16,2026-01-21
AR-K16,Ariana tamno plavi (AR-K16) kom,2025-01-28,2024-04-01,2025-12-30,639,0,639,175.0,175.0,146.0,14.0,132.0,0.206573,0.0,0.0,0.0,0.0,175.0,175.0,2025-01-29,2026-01-16
AR-Najpl,Ariana najtamnija plava (AR-Najpl) kom,2025-05-08,2024-04-01,2025-12-17,626,0,626,35.0,35.0,22.0,2.0,20.0,0.031949,0.0,0.0,0.0,0.0,35.0,35.0,2025-05-15,2025-10-29
AR-PLO,Ariana platinum ombre (AR-PLO) kom,2025-01-28,2024-04-01,2025-12-30,639,0,639,116.0,115.0,62.0,5.0,57.0,0.089202,0.0,0.0,0.0,0.0,116.0,116.0,2025-01-29,2026-01-16
AR-SMO,Arijana smedi ombre (AR-SMO) kom,2025-08-13,2024-04-01,2025-12-30,639,0,639,90.0,90.0,43.0,4.0,39.0,0.061033,0.0,0.0,0.0,0.0,90.0,90.0,2025-08-16,2026-01-16
AR-SMPLV,Ariana smede plavi (AR-SMPLV) kom,2025-05-08,2024-04-01,2025-12-30,639,0,639,95.0,95.0,61.0,2.0,59.0,0.092332,0.0,0.0,0.0,0.0,95.0,95.0,2025-05-15,2026-01-16
AR-SRP,Arijana srednje plavi (AR-SRP) kom,2025-08-13,2024-04-01,2025-12-18,627,0,627,50.0,50.0,54.0,5.0,49.0,0.07815,0.0,0.0,0.0,0.0,50.0,50.0,2025-08-16,2025-08-16
BD-10,Blowdry svetlo smeda (BD-10) ko,2025-10-27,2024-04-01,2025-12-23,632,0,632,50.0,50.0,12.0,1.0,11.0,0.017405,0.0,0.0,0.0,0.0,50.0,50.0,2025-10-29,2025-10-29
BD-1B,Blowdry crna (BD-1B) ko,2025-10-27,2024-04-01,2025-12-29,638,0,638,100.0,100.0,48.0,1.0,47.0,0.073668,0.0,0.0,0.0,0.0,100.0,100.0,2025-10-29,2025-10-29
BD-2,Blowdry najtamnija smeda (BD-2) ko,2025-10-27,2024-04-01,2025-12-31,640,0,640,47.0,50.0,37.0,10.0,27.0,0.042188,0.0,0.0,0.0,0.0,50.0,47.0,2025-10-29,2025-10-29
BD-4,Blowdry tamno smeda (BD-4) ko,2025-10-27,2024-04-01,2025-12-30,639,0,639,63.0,70.0,25.0,3.0,22.0,0.034429,0.0,0.0,0.0,0.0,70.0,63.0,2025-10-29,2025-10-29
BD-6,Blowdry smeda (BD-6) ko,2025-10-27,2024-04-01,2025-12-30,639,0,639,77.0,70.0,33.0,8.0,25.0,0.039124,0.0,0.0,0.0,0.0,70.0,77.0,2025-10-29,2025-10-29
BD-613,Blowdry svetlo plava (BD-613) ko,2025-10-27,2024-04-01,2025-12-31,640,0,640,50.0,50.0,30.0,3.0,27.0,0.042188,0.0,0.0,0.0,0.0,50.0,50.0,2025-10-29,2025-10-29
BD-K16,Blowdry tamno plava (BD-K16) ko,2025-10-27,2024-04-01,2025-12-30,639,0,639,50.0,50.0,33.0,4.0,29.0,0.045383,0.0,0.0,0.0,0.0,50.0,50.0,2025-10-29,2025-10-29
BD-PLAT,Blowdry platina (BD-PLAT) ko,2025-10-27,2024-04-01,2025-12-29,638,0,638,50.0,50.0,11.0,1.0,10.0,0.015674,0.0,0.0,0.0,0.0,50.0,50.0,2025-10-29,2025-10-29
