SKU,Artikal,Zero od,Zero do,Dani bez zalihe,Dokument start,Dokument kraj
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-11-19,2024-12-13,24.0,IS-1549,PS-4
AF-1,AF-1 - Rep crni afro (AF-1) kom,2025-07-10,2025-07-15,5.0,IS-2025-3897,IS-2025-4032
AF-K16,AF-K16 - Rep tamno plava afro (AF-K16) kom,2024-12-26,2025-01-28,33.0,IS-2356,PS-2025-1
AF-MHG,Rep Mahagoni afro (AF-MHG) ko,2024-08-12,2024-08-28,16.0,IS-422,IS-589
AF-SMP,AF-SMP - Rep smede plava afro (AF-SMP) kom,2024-12-23,2025-01-28,36.0,IS-2201,PS-2025-1
AR-4,Ariana tamno smedi (AR-4) kom,2025-03-10,2025-03-11,1.0,IS-2025-1147,IS-2025-1205
AR-4,Ariana tamno smedi (AR-4) kom,2025-06-19,2025-08-13,55.0,IS-2025-3354,PS-2025-4
AR-4,Ariana tamno smedi (AR-4) kom,2025-10-20,2025-10-22,2.0,IS-2025-7420,IS-2025-7517
AR-4,Ariana tamno smedi (AR-4) kom,2025-10-22,2025-10-23,1.0,IS-2025-7521,IS-2025-7554
Crni kratki rep (KRR-1B ) kom,Crni kratki rep (KRR-1B ) kom,2025-12-16,2025-12-19,3.0,IS-2025-9390,IS-2025-9492
Crni kratki rep (KRR-1B ) kom,Crni kratki rep (KRR-1B ) kom,2025-12-23,2025-12-30,7.0,IS-2025-9716,PS-2025-8
EKS-10,EKS-10 - Ekstenzije svetlo smeda (EKS-10) kom,2025-06-26,2025-08-13,48.0,IS-2025-3519,PS-2025-4
EKS-SSP,EKS-SSP - Ekstenzije smede s pramenovima ravna (EKS-SSP) kom,2025-09-26,,,IS-2025-6653,
EKSOPK-1B,Ekstenzije crna OPK (EKSOPK-1B) kom,2025-12-16,2025-12-30,14.0,IS-2025-9391,PS-2025-8
EKSOPK-4,Ekstenzije tamno smeda OPK (EKSOPK-4) kom,2025-12-22,2025-12-30,8.0,IS-2025-9620,PS-2025-8
