SKU,Total prodato,Prvi datum,Zadnji datum,Ukupno dana,Dani bez zalihe,Dani dostupno,Prosek dnevno,Ukupno neto,Prosek neto,Procjena gubitka neto,Procena izgubljeno
AF-1,236,2024-06-24,2026-01-13,569,31,538,0.4387,1007023.88,1871.7916,58025.54,13.5985
AF-10,47,2024-07-04,2025-12-19,534,0,534,0.088,191164.64,357.9862,0.0,0.0
AF-2,42,2024-11-01,2026-01-09,435,0,435,0.0966,171317.24,393.8327,0.0,0.0
AF-4,121,2024-06-24,2026-01-15,571,0,571,0.2119,515548.7,902.8874,0.0,0.0
AF-6,105,2024-06-24,2026-01-12,568,0,568,0.1849,451436.38,794.7824,0.0,0.0
AF-613,64,2024-07-05,2026-01-12,557,0,557,0.1149,274599.55,492.9974,0.0,0.0
AF-CRV,21,2024-09-05,2025-12-30,482,0,482,0.0436,92339.42,191.5756,0.0,0.0
AF-K16,104,2024-06-25,2026-01-13,568,34,534,0.1948,456882.57,855.5853,29089.9,6.6217
AF-MHG,41,2024-07-15,2026-01-14,549,17,532,0.0771,181279.25,340.7505,5792.76,1.3102
AF-PLAT,41,2024-10-22,2026-01-08,444,0,444,0.0923,167931.68,378.2245,0.0,0.0
AF-SMEDPR,23,2025-08-29,2026-01-15,140,0,140,0.1643,99593.0,711.3786,0.0,0.0
AF-SMO,37,2024-08-07,2026-01-14,526,0,526,0.0703,164540.25,312.8142,0.0,0.0
AF-SMP,103,2024-06-25,2026-01-15,570,37,533,0.1932,447071.29,838.7829,31034.97,7.1501
AF-SRP,42,2024-11-22,2026-01-15,420,0,420,0.1,175358.26,417.5197,0.0,0.0
AR-1B,152,2025-05-20,2026-01-01,227,0,227,0.6696,577276.9,2543.07,0.0,0.0
AR-2,139,2025-02-04,2025-12-19,319,0,319,0.4357,551738.84,1729.5888,0.0,0.0
AR-4,248,2025-02-04,2026-01-14,345,63,282,0.8794,955018.88,3386.5918,213355.28,55.4043
AR-6,53,2025-08-20,2025-12-05,108,0,108,0.4907,211066.0,1954.3148,0.0,0.0
AR-613,57,2025-02-05,2026-01-16,346,0,346,0.1647,202003.45,583.825,0.0,0.0
AR-K16,145,2025-02-04,2026-01-14,345,0,345,0.4203,539464.94,1563.6665,0.0,0.0
AR-Najpl,20,2025-07-02,2025-12-24,176,0,176,0.1136,71077.0,403.8466,0.0,0.0
AR-PLO,62,2025-02-06,2026-01-15,344,0,344,0.1802,234946.98,682.9854,0.0,0.0
AR-SMO,41,2025-08-20,2025-11-29,102,0,102,0.402,154867.0,1518.3039,0.0,0.0
AR-SMPLV,60,2025-05-21,2025-12-15,209,0,209,0.2871,233037.0,1115.0096,0.0,0.0
AR-SRP,52,2025-08-20,2025-12-26,129,0,129,0.4031,189899.0,1472.0853,0.0,0.0
BD-10,12,2025-11-06,2026-01-15,71,0,71,0.169,55635.0,783.5915,0.0,0.0
BD-1B,48,2025-11-04,2026-01-14,72,0,72,0.6667,237349.99,3296.5277,0.0,0.0
BD-2,34,2025-11-03,2026-01-13,72,0,72,0.4722,168988.0,2347.0556,0.0,0.0
BD-4,22,2025-11-03,2025-12-31,59,0,59,0.3729,112540.0,1907.4576,0.0,0.0
BD-6,34,2025-11-03,2026-01-14,73,0,73,0.4658,152340.0,2086.8493,0.0,0.0
BD-613,33,2025-11-03,2026-01-15,74,0,74,0.4459,162280.0,2192.973,0.0,0.0
BD-K16,32,2025-11-06,2026-01-14,70,0,70,0.4571,161636.99,2309.0999,0.0,0.0
BD-PLAT,13,2025-11-03,2026-01-14,73,0,73,0.1781,67490.0,924.5205,0.0,0.0
BD-SMEDPR,70,2025-11-03,2026-01-14,73,0,73,0.9589,358190.0,4906.7123,0.0,0.0
BD-SRP,73,2025-11-03,2026-01-14,73,0,73,1.0,356806.2,4887.7562,0.0,0.0
DR-1B,144,2024-06-25,2025-10-29,492,0,492,0.2927,687674.52,1397.7124,0.0,0.0
DR-4,58,2024-10-24,2025-12-24,427,0,427,0.1358,276217.19,646.8787,0.0,0.0
DR-6,29,2025-05-22,2026-01-15,239,0,239,0.1213,131286.0,549.3138,0.0,0.0
DR-K16,14,2025-06-04,2025-12-18,198,0,198,0.0707,65900.0,332.8283,0.0,0.0
DR-PP,65,2024-06-21,2025-12-09,537,0,537,0.121,284440.57,529.6845,0.0,0.0
DR-SIVPL,25,2024-06-27,2025-12-30,552,0,552,0.0453,117483.85,212.8331,0.0,0.0
DR-SMPLV,38,2024-07-05,2025-12-31,545,0,545,0.0697,174750.41,320.643,0.0,0.0
DR-SRP,24,2025-05-19,2026-01-15,242,0,242,0.0992,110171.37,455.2536,0.0,0.0
EKS-10,112,2024-08-31,2026-01-06,494,49,445,0.2517,476753.52,1071.3562,52496.45,12.3326
EKS-1B,291,2024-06-25,2025-12-19,543,0,543,0.5359,1250205.4,2302.404,0.0,0.0
EKS-4,220,2024-06-27,2026-01-13,566,0,566,0.3887,956172.59,1689.3509,0.0,0.0
EKS-6,223,2024-07-08,2026-01-15,557,0,557,0.4004,955797.12,1715.9733,0.0,0.0
EKS-613,33,2025-08-28,2026-01-13,139,0,139,0.2374,131074.0,942.9784,0.0,0.0
EKS-K16,126,2024-06-24,2025-12-29,554,0,554,0.2274,518381.76,935.7072,0.0,0.0
EKS-NAT,138,2024-06-28,2025-10-21,481,0,481,0.2869,590795.83,1228.2658,0.0,0.0
EKS-PLAT,28,2025-08-21,2026-01-14,147,0,147,0.1905,109638.0,745.8367,0.0,0.0
EKS-PLO,65,2024-09-05,2026-01-09,492,0,492,0.1321,272549.42,553.9622,0.0,0.0
EKS-PRAM,24,2024-09-17,2025-12-27,467,0,467,0.0514,106238.42,227.4913,0.0,0.0
EKS-SIVPL,22,2024-09-25,2025-10-21,392,0,392,0.0561,97832.1,249.5717,0.0,0.0
EKS-SMPLV,59,2024-10-24,2025-12-27,430,0,430,0.1372,232021.67,539.5853,0.0,0.0
