sku,oos_start,oos_end,controls
AF-1,2024-11-19,2024-12-12,"[{""control_sku"": ""RR-10"", ""corr"": 0.4505473419468207, ""overlap_days"": 56, ""ratio"": 2.166666666666667}, {""control_sku"": ""RR-1B"", ""corr"": 0.41736402845664033, ""overlap_days"": 56, ""ratio"": 1.6250000000000002}, {""control_sku"": ""Najtamniji smedi kratki opk (KRO-2 ) kom"", ""corr"": 0.37501467529173693, ""overlap_days"": 56, ""ratio"": 4.333333333333334}, {""control_sku"": ""AF-SMP"", ""corr"": 0.3693974426682451, ""overlap_days"": 56, ""ratio"": 3.2500000000000004}, {""control_sku"": ""RR-6"", ""corr"": 0.3517787665054116, ""overlap_days"": 56, ""ratio"": 1.0833333333333335}]"
AF-1,2025-07-10,2025-07-14,"[{""control_sku"": ""OPK-SMP"", ""corr"": 0.6129999520145049, ""overlap_days"": 56, ""ratio"": 2.444444444444444}, {""control_sku"": ""P091"", ""corr"": 0.49376340351895226, ""overlap_days"": 56, ""ratio"": 11.0}, {""control_sku"": ""AF-MHG"", ""corr"": 0.48773474442893205, ""overlap_days"": 56, ""ratio"": 3.142857142857143}, {""control_sku"": ""AR-613"", ""corr"": 0.47589492492438723, ""overlap_days"": 56, ""ratio"": 2.0}, {""control_sku"": ""AR-2"", ""corr"": 0.4590397012707864, ""overlap_days"": 56, ""ratio"": 1.0476190476190477}]"
AF-K16,2024-12-26,2025-01-27,"[{""control_sku"": ""AF-10"", ""corr"": 0.6550404675929556, ""overlap_days"": 56, ""ratio"": 2.0}, {""control_sku"": ""Svetlo Smedi s pramenovima (RR-SMEDPR ) kom"", ""corr"": 0.4694949753883355, ""overlap_days"": 56, ""ratio"": 0.6}, {""control_sku"": ""RR-MHG"", ""corr"": 0.45208063406437704, ""overlap_days"": 56, ""ratio"": 2.0}, {""control_sku"": ""Srednje plava ombre afro (AF-SRP ) kom"", ""corr"": 0.44501236673450423, ""overlap_days"": 56, ""ratio"": 3.0}]"
AF-MHG,2024-08-12,2024-08-27,"[{""control_sku"": ""TRK-1B"", ""corr"": 0.47406676999047853, ""overlap_days"": 56, ""ratio"": 2.5}, {""control_sku"": ""RR-4"", ""corr"": 0.4516689654702129, ""overlap_days"": 56, ""ratio"": 0.38461538461538464}, {""control_sku"": ""RR-350"", ""corr"": 0.42575561880567503, ""overlap_days"": 56, ""ratio"": 1.6666666666666667}, {""control_sku"": ""EKS-6"", ""corr"": 0.4203558363175343, ""overlap_days"": 56, ""ratio"": 1.0}, {""control_sku"": ""EKS-4"", ""corr"": 0.4005496556106963, ""overlap_days"": 56, ""ratio"": 0.5555555555555556}]"
AF-SMP,2024-12-23,2025-01-27,"[{""control_sku"": ""RR-MHG"", ""corr"": 0.5491696473652757, ""overlap_days"": 56, ""ratio"": 1.25}, {""control_sku"": ""EKS-PLO"", ""corr"": 0.45733756229700745, ""overlap_days"": 56, ""ratio"": 0.5555555555555556}, {""control_sku"": ""DR-4"", ""corr"": 0.4269005847953218, ""overlap_days"": 56, ""ratio"": 0.8333333333333334}, {""control_sku"": ""EKS-K16"", ""corr"": 0.39808150256500224, ""overlap_days"": 56, ""ratio"": 0.5}, {""control_sku"": ""AF-10"", ""corr"": 0.3902440881590393, ""overlap_days"": 56, ""ratio"": 1.25}]"
AR-4,2025-03-10,2025-03-10,"[{""control_sku"": ""OPK-1B"", ""corr"": 0.44560028131229446, ""overlap_days"": 56, ""ratio"": 1.1333333333333333}, {""control_sku"": ""Platinum ombre kratki opk (KRO-PP ) kom"", ""corr"": 0.42333160884979554, ""overlap_days"": 55, ""ratio"": 4.25}, {""control_sku"": ""Ekstenzije s plavim pramenovima (EKS-PRAM ) kom"", ""corr"": 0.41856634385101743, ""overlap_days"": 56, ""ratio"": 8.5}, {""control_sku"": ""U-1B"", ""corr"": 0.41080530543442817, ""overlap_days"": 56, ""ratio"": 0.8499999999999999}, {""control_sku"": ""AR-613"", ""corr"": 0.40079877897109073, ""overlap_days"": 56, ""ratio"": 3.3999999999999995}]"
AR-4,2025-06-19,2025-08-12,"[{""control_sku"": ""AR-1B"", ""corr"": 0.6214906536075228, ""overlap_days"": 56, ""ratio"": 1.4500000000000002}, {""control_sku"": ""Smede plavi kratki (KRR-SMPLV ) kom"", ""corr"": 0.5612349859730081, ""overlap_days"": 56, ""ratio"": 7.250000000000001}, {""control_sku"": ""U-SMEDPR"", ""corr"": 0.5574149672703944, ""overlap_days"": 56, ""ratio"": 1.4500000000000002}, {""control_sku"": ""Srednje plavi (RR-SRP ) kom"", ""corr"": 0.552708918629632, ""overlap_days"": 56, ""ratio"": 4.142857142857143}]"
AR-4,2025-10-20,2025-10-22,"[{""control_sku"": ""OPK-1B"", ""corr"": 0.4888683700651061, ""overlap_days"": 56, ""ratio"": 0.5952380952380952}, {""control_sku"": ""Svetlo plavi kratki opk (KRO-613 ) kom"", ""corr"": 0.4758964018309751, ""overlap_days"": 56, ""ratio"": 2.5}, {""control_sku"": ""Tamno plavi kratki (KRR-k16 ) kom"", ""corr"": 0.4496453722675798, ""overlap_days"": 56, ""ratio"": 2.7777777777777777}, {""control_sku"": ""AR-SMO"", ""corr"": 0.4256676008119607, ""overlap_days"": 56, ""ratio"": 2.272727272727273}, {""control_sku"": ""U-1B"", ""corr"": 0.422258878229777, ""overlap_days"": 56, ""ratio"": 1.3888888888888888}]"
Crni kratki rep (KRR-1B ) kom,2025-12-16,2025-12-18,"[{""control_sku"": ""AR-4"", ""corr"": 0.5132750428709434, ""overlap_days"": 54, ""ratio"": 0.36585365853658536}, {""control_sku"": ""PR20"", ""corr"": 0.5033222956847163, ""overlap_days"": 56, ""ratio"": 7.5}, {""control_sku"": ""BD-10"", ""corr"": 0.39520497330349086, ""overlap_days"": 56, ""ratio"": 3.0}, {""control_sku"": ""OPK-1B"", ""corr"": 0.3868164682010553, ""overlap_days"": 56, ""ratio"": 0.9375}]"
Crni kratki rep (KRR-1B ) kom,2025-12-23,2025-12-29,"[{""control_sku"": ""PR20"", ""corr"": 0.5127402280166765, ""overlap_days"": 53, ""ratio"": 6.5}, {""control_sku"": ""BD-10"", ""corr"": 0.40817888526955964, ""overlap_days"": 53, ""ratio"": 2.6}, {""control_sku"": ""Tamno smeda kratki (KRR-4 ) kom"", ""corr"": 0.3881623571491153, ""overlap_days"": 53, ""ratio"": 1.857142857142857}]"
