SKU,Artikal,kolicina_sum,nabavna_sum,prodajna_sum,marza_sum,doc_count,first_date,last_date
OPK-1B,OPK-1B - Rep crna OPK(OPK-1B),320,323214.45,1424000,1100785.55,4,2025-01-28,2025-12-30
EKS-1B,EKS-1B - Ekstenzije crna ravna(EKS-1B),280,265310.24,1246000,980689.76,4,2025-01-28,2025-12-30
RR-1B,RR-1B - Rep crni ravni(RR-1B),260,229397.95,1114280,884882.05,4,2025-01-28,2025-12-30
AR-4,Ariana tamno smedi(AR-4),275,219243.04,1097250,878006.9600000001,5,2025-01-28,2025-12-30
U-1B,U klipse crna(U-1B),210,250791.64,1110900,860108.36,2,2025-05-08,2025-08-13
RR-4,RR-4 - Rep tamno smedi ravni(RR-4),220,194929.05,979000,784070.9500000001,4,2025-01-28,2025-12-30
AR-1B,Ariana crni(AR-1B),230,182340.22,888980,706639.78,3,2025-05-08,2025-12-30
EKS-4,EKS-4 - Ekstenzije tamno smeda ravna(EKS-4),210,200754.81,897120,696365.19,4,2025-01-28,2025-12-30
EKS-6,Ekstenzije smeda ravna(EKS-6),180,173248.32,801000,627751.6799999999,4,2025-01-28,2025-12-30
U-4,U klipse tamno smeda(U-4),150,179019.02000000002,793500,614480.98,2,2025-05-08,2025-08-13
RR-6,Rep smedi ravni(RR-6),175,155540.9,757390,601849.1000000001,4,2025-01-28,2025-12-30
AF-1,AF-1 - Rep crni afro(AF-1),180,184809.41,784980,600170.59,3,2025-01-28,2025-12-30
AR-2,Ariana najtamnija smeda(AR-2),185,149095.24,738150,589054.76,4,2025-01-28,2025-12-30
Smede plavi kratki opk(KRO-SMPLV	),Smede plavi kratki opk(KRO-SMPLV	),190,177219.05,758100,580880.95,5,2025-01-28,2025-12-30
AR-K16,Ariana tamno plavi(AR-K16),175,141549.3,691070,549520.7,4,2025-01-28,2025-12-30
OPK-SMO,OPK-SMO - Rep smeda ombre OPK(OPK-SMO),155,157940.96,673730,515789.04,4,2025-01-28,2025-12-30
EKS-SRP,EKS-SRP - Ekstenzije srednje plava ravna(EKS-SRP),140,133886.91,623000,489113.09,4,2025-01-28,2025-12-30
Srednje plavi(RR-SRP	),Srednje plavi(RR-SRP	),140,124393.77,606980,482586.23,4,2025-01-28,2025-12-30
Najtamnija smeda(RR-2	),Najtamnija smeda(RR-2	),135,118991.03,600750,481758.97,4,2025-01-28,2025-12-30
OPK-2,Najtamnija smeda OPK(OPK-2),140,141206.57,606980,465773.43,4,2025-01-28,2025-12-30
