SKU,Total prodato,Prvi datum,Zadnji datum,Ukupno dana,Dani bez zalihe,Dani dostupno,Prosek dnevno,Ukupno neto,Prosek neto,Procjena gubitka neto,Procena izgubljeno
PR2,10,2025-01-17,2025-12-24,342,229,113,0.0885,101717.12,900.1515,206134.69,20.2655
PR15,17,2025-02-14,2025-12-23,313,200,113,0.1504,199597.0,1766.3451,353269.03,30.0885
PR1,8,2025-02-05,2025-12-01,300,183,117,0.0684,92522.0,790.7863,144713.9,12.5128
P081,28,2025-01-16,2025-12-05,324,174,150,0.1867,272604.52,1817.3635,316221.24,32.48
PR36,11,2024-12-30,2025-12-09,345,130,215,0.0512,115354.63,536.5332,69749.31,6.6512
P095,35,2025-01-08,2026-01-13,371,121,250,0.14,184231.38,736.9255,89167.99,16.94
PR8,11,2025-01-15,2025-11-28,318,87,231,0.0476,125440.71,543.0334,47243.9,4.1429
TRK-613,49,2024-06-27,2025-12-24,546,86,460,0.1065,212317.76,461.5603,39694.19,9.1609
P084,27,2025-01-22,2026-01-12,356,82,274,0.0985,146770.3,535.658,43923.96,8.0803
P061,22,2025-01-20,2025-12-02,317,78,239,0.0921,104993.78,439.3045,34265.75,7.1799
AR-4,248,2025-02-04,2026-01-14,345,63,282,0.8794,955018.88,3386.5918,213355.28,55.4043
OPK-2,138,2024-10-24,2026-01-14,448,63,385,0.3584,567991.83,1475.3035,92944.12,22.5818
PR43,40,2024-12-30,2025-11-27,333,51,282,0.1418,456859.39,1620.0688,82623.51,7.234
PR4,20,2025-01-27,2026-01-14,353,51,302,0.0662,235237.98,778.9337,39725.62,3.3775
EKS-10,112,2024-08-31,2026-01-06,494,49,445,0.2517,476753.52,1071.3562,52496.45,12.3326
PR3,7,2025-06-07,2025-12-31,208,43,165,0.0424,68722.0,416.497,17909.37,1.8242
AF-SMP,103,2024-06-25,2026-01-15,570,37,533,0.1932,447071.29,838.7829,31034.97,7.1501
AF-K16,104,2024-06-25,2026-01-13,568,34,534,0.1948,456882.57,855.5853,29089.9,6.6217
P041,11,2025-01-08,2025-12-30,357,34,323,0.0341,58212.0,180.2229,6127.58,1.1579
OPK-MHG,41,2024-07-19,2026-01-08,539,33,506,0.081,184831.8,365.2802,12054.25,2.6739
