python : import time: self [us] | cumulative | imported package
At line:1 char:1
+ python -X importtime .\SRB1.2-razvoj.py ui 2>&1 | Out-File .\importti ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (import time: se...mported package:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
import time:        71 |         71 | winreg
import time:       141 |        141 |   _io
import time:        24 |         24 |   marshal
import time:       141 |        141 |   nt
import time:       456 |        761 | _frozen_importlib_external
import time:       393 |        393 |   time
import time:       173 |        566 | zipimport
import time:        37 |         37 |     _codecs
import time:       371 |        407 |   codecs
import time:       692 |        692 |   encodings.aliases
import time:       978 |       2076 | encodings
import time:       343 |        343 | encodings.utf_8
import time:       366 |        366 | encodings.cp1252
import time:        32 |         32 | _signal
import time:        26 |         26 |     _abc
import time:       119 |        144 |   abc
import time:       103 |        246 | io
import time:        48 |         48 |       _stat
import time:        77 |        125 |     stat
import time:       661 |        661 |     _collections_abc
import time:        72 |         72 |       genericpath
import time:        64 |         64 |       _winapi
import time:       167 |        302 |     ntpath
import time:       421 |       1508 |   os
import time:        72 |         72 |   _sitebuiltins
import time:        54 |         54 |   errno
import time:       393 |        393 |   encodings.utf_8_sig
import time:       767 |        767 |   _distutils_hack
import time:       255 |        255 |   sitecustomize
import time:       147 |        147 |   usercustomize
import time:       905 |       4096 | site
import time:        98 |         98 |           itertools
import time:       429 |        429 |           keyword
import time:        60 |         60 |             _operator
import time:       501 |        561 |           operator
import time:       415 |        415 |           reprlib
import time:        56 |         56 |           _collections
import time:       815 |       2372 |         collections
import time:        44 |         44 |         _functools
import time:       686 |       3101 |       functools
import time:       465 |        465 |       types
import time:      1164 |       4729 |     enum
import time:        55 |         55 |       _sre
import time:       404 |        404 |         re._constants
import time:       664 |       1067 |       re._parser
import time:       315 |        315 |       re._casefix
import time:       547 |       1982 |     re._compiler
import time:       388 |        388 |     copyreg
import time:       759 |       7857 |   re
import time:       799 |        799 |   gettext
import time:      1430 |      10085 | argparse
import time:        62 |         62 |   _csv
import time:       495 |        556 | csv
import time:      2018 |       2018 |   _hashlib
import time:        44 |         44 |   _blake2
import time:       460 |       2521 | hashlib
import time:        52 |         52 |   math
import time:       548 |        548 |   numbers
import time:        31 |         31 |       _bisect
import time:       367 |        398 |     bisect
import time:        27 |         27 |     _random
import time:       543 |        967 |   random
import time:       753 |        753 |       _decimal
import time:       366 |       1119 |     decimal
import time:      1521 |       2639 |   fractions
import time:        31 |         31 |   _statistics
import time:       699 |       4934 | statistics
import time:        44 |         44 |       _json
import time:       450 |        494 |     json.scanner
import time:       612 |       1106 |   json.decoder
import time:       527 |        527 |   json.encoder
import time:       463 |       2095 | json
import time:        80 |         80 |       _datetime
import time:       349 |        429 |     datetime
import time:      1244 |       1244 |     _sqlite3
import time:       518 |        518 |     warnings
import time:       475 |       2663 |   sqlite3.dbapi2
import time:       404 |       3067 | sqlite3
import time:       171 |        171 |       posix
import time:       148 |        148 |       posix
